drzava;ime_priimek;pozicija;rojstni_datum;leto
ITA;Angelo Domenghini;VEZNI IGRALEC;25081941;1968
ITA;Giacinto Facchetti;BRANILEC;18071942;1968
ITA;Aristide Guarneri;BRANILEC;7031938;1968
ITA;Sandro Mazzola;VEZNI IGRALEC;8111942;1968
ITA;Luigi Riva;NAPADALEC;7111944;1968
ITA;Roberto Rosato;BRANILEC;18081943;1968
ITA;Alessandro Salvadore;BRANILEC;29111939;1968
SRB;Radomir Vukčević;NEZNANO;15091941;1968
SRB;Borivoje Djordjević;VEZNI IGRALEC;2081948;1968
SRB;Ivica Osim;VEZNI IGRALEC;6051941;1968
SRB;Rudolf Belin;NEZNANO;4111942;1968
SRB;Rajko Aleksić;NEZNANO;19021947;1968
SRB;Mladen Ramljak;NEZNANO;1071945;1968
SRB;Ljubomir Mihajlović;NEZNANO;4091942;1968
SRB;Ivan Brzić;NEZNANO;28051941;1968
SRB;Boško Antić;NEZNANO;7011944;1968
SRB;Idriz Hošić;NEZNANO;17021944;1968
SRB;Ilija Pantelić;NEZNANO;2081942;1968
SRB;Mirsad Fazlagić;BRANILEC;4041943;1968
SRB;Milan Damjanović;NEZNANO;15101943;1968
SRB;Blagoje Paunović;NEZNANO;4061947;1968
SRB;Dragan Holcer;NEZNANO;19011945;1968
SRB;Ilija Petković;NEZNANO;22091945;1968
SRB;Vahidin Musemić;NEZNANO;29101946;1968
SRB;Dragan Džajić;VEZNI IGRALEC;30051946;1968
SRB;Miroslav Pavlović;NEZNANO;23101942;1968
SRB;Jovan Aćimović;NEZNANO;21061948;1968
SRB;Dobrivoje Trivić;NEZNANO;26101943;1968
ITA;Enrico Albertosi;VRATAR;2111939;1968
ITA;Angelo Anquilletti;BRANILEC;25041943;1968
ITA;Giancarlo Bercellino;BRANILEC;9101941;1968
ITA;Giacomo Bulgarelli;VEZNI IGRALEC;24101940;1968
ITA;Picchio;VEZNI IGRALEC;13031943;1968
ITA;Sandro Mazzola;VEZNI IGRALEC;8111942;1968
ITA;Luigi Riva;NAPADALEC;7111944;1968
ITA;Gianni Rivera;VEZNI IGRALEC;18081943;1968
ITA;Roberto Rosato;BRANILEC;18081943;1968
ITA;Alessandro Salvadore;BRANILEC;29111939;1968
ITA;Lido Vieri;VRATAR;16071939;1968
ITA;Dino Zoff;VRATAR;28021942;1968
ITA;Pietro Anastasi;NAPADALEC;7041948;1968
ITA;Tarcisio Burgnich;BRANILEC;25041939;1968
ITA;Ernesto Castano;BRANILEC;2051939;1968
ITA;Angelo Domenghini;VEZNI IGRALEC;25081941;1968
ITA;Giacinto Facchetti;BRANILEC;18071942;1968
ITA;Giorgio Ferrini;VEZNI IGRALEC;18081939;1968
