datum;domaca_ekipa;gostujoca_ekipa;domaci_goli;gostujoci_goli;del_prvenstva;dodatek;stadion;mesto;stevilo_gledalcev;leto
21 junij 1992 (1992-06-21);Švedska ; Nemčija;2;3;Polfinale;;Råsunda Stadium; Solna;28827;1992
22 junij 1992 (1992-06-22);Nizozemska ; Danska;2;2;Polfinale;Danska zmaga na kazenskih udarcih 4-5;Ullevi; Gothenburg;37450;1992
26 junij 1992 (1992-06-26);Danska ; Nemčija;2;0;Finale;;Ullevi; Gothenburg;37800;1992
8 junij 1996 (1996-06-08);Anglija ;  Švica;1;1;Skupina A;;Wembley Stadium; London;76567;1996
10 junij 1996 (1996-06-10);Nizozemska ; Škotska;0;0;Skupina A;;Villa Park; Birmingham;34363;1996
13 junij 1996 (1996-06-13);Švica  ; Nizozemska;0;2;Skupina A;;Villa Park; Birmingham;36800;1996
15 junij 1996 (1996-06-15);Škotska ; Anglija;0;2;Skupina A;;Wembley Stadium; London;76864;1996
18 junij 1996 (1996-06-18);Škotska ;  Švica;1;0;Skupina A;;Villa Park; Birmingham;34926;1996
18 junij 1996 (1996-06-18);Nizozemska ; Anglija;1;4;Skupina A;;Wembley Stadium; London;76798;1996
9 junij 1996 (1996-06-09);Španija ; Bolgarija;1;1;Skupina B;;Elland Road; Leeds;24006;1996
10 junij 1996 (1996-06-10);Romunija ; Francija;0;1;Skupina B;;St James' Park; Newcastle;26323;1996
13 junij 1996 (1996-06-13);Bolgarija ; Romunija;1;0;Skupina B;;St James' Park; Newcastle;19107;1996
15 junij 1996 (1996-06-15);Francija ; Španija;1;1;Skupina B;;Elland Road; Leeds;35626;1996
18 junij 1996 (1996-06-18);Francija ; Bolgarija;3;1;Skupina B;;St James' Park; Newcastle;26976;1996
18 junij 1996 (1996-06-18);Romunija ; Španija;1;2;Skupina B;;Elland Road; Leeds;32719;1996
9 junij 1996 (1996-06-09);Nemčija ; Češka;2;0;Skupina C;;Old Trafford; Manchester;37300;1996
11 junij 1996 (1996-06-11);Italija ; Rusija;2;1;Skupina C;;Anfield; Liverpool;35120;1996
14 junij 1996 (1996-06-14);Češka ; Italija;2;1;Skupina C;;Anfield; Liverpool;37320;1996
16 junij 1996 (1996-06-16);Rusija ; Nemčija;0;3;Skupina C;;Old Trafford; Manchester;50760;1996
19 junij 1996 (1996-06-19);Rusija ; Češka;3;3;Skupina C;;Anfield; Liverpool;21128;1996
19 junij 1996 (1996-06-19);Italija ; Nemčija;0;0;Skupina C;;Old Trafford; Manchester;53740;1996
9 junij 1996 (1996-06-09);Danska ; Portugalska;1;1;Skupina D;;Hillsborough; Sheffield;34993;1996
11 junij 1996 (1996-06-11);Turčija ; Hrvaška;0;1;Skupina D;;City Ground; Nottingham;22460;1996
14 junij 1996 (1996-06-14);Portugalska ; Turčija;1;0;Skupina D;;City Ground; Nottingham;22670;1996
16 junij 1996 (1996-06-16);Hrvaška ; Danska;3;0;Skupina D;;Hillsborough; Sheffield;33671;1996
19 junij 1996 (1996-06-19);Hrvaška ; Portugalska;0;3;Skupina D;;City Ground; Nottingham;20484;1996
19 junij 1996 (1996-06-19);Turčija ; Danska;0;3;Skupina D;;Hillsborough; Sheffield;28951;1996
22 junij 1996 (1996-06-22);Španija ; Anglija;0;0;Četrtfinale;Anglija zmaga z enajstmetrovkami 2-4;Wembley Stadium; London;75440;1996
22 junij 1996 (1996-06-22);Francija ; Nizozemska;0;0;Četrtfinale;Francija zmaga na kazenskih udarcih 5-4;Anfield; Liverpool;37465;1996
23 junij 1996 (1996-06-23);Nemčija ; Hrvaška;2;1;Četrtfinale;;Old Trafford; Manchester;43412;1996
23 junij 1996 (1996-06-23);Češka ; Portugalska;1;0;Četrtfinale;;Villa Park; Birmingham;26832;1996
26 junij 1996 (1996-06-26);Francija ; Češka;0;0;Polfinale;Češka zmaga na enajstmetrovkah 5-6;Old Trafford; Manchester;43877;1996
26 junij 1996 (1996-06-26);Nemčija ; Anglija;1;1;Polfinale;Nemčija zmaga na enajstmetrovkah 6-5;Wembley Stadium; London;75862;1996
30 junij 1996 (1996-06-30);Češka ; Nemčija;1;2;Finale;Nemčija zmaga po podaljšku;Wembley Stadium; London;73611;1996
12 junij 2000 (2000-06-12);Nemčija ; Romunija;1;1;Skupina A;;Stade Maurice Dufrasne; Liège;28500;2000
12 junij 2000 (2000-06-12);Portugalska ; Anglija;3;2;Skupina A;;Philips Stadionn; Eindhoven;31500;2000
17 junij 2000 (2000-06-17);Romunija ; Portugalska;0;1;Skupina A;;GelreDome; Arnhem;28400;2000
17 junij 2000 (2000-06-17);Anglija ; Nemčija;1;0;Skupina A;;Stade du Pays de Charleroi; Charleroi;29000;2000
20 junij 2000 (2000-06-20);Anglija ; Romunija;2;3;Skupina A;;Stade du Pays de Charleroi; Charleroi;30000;2000
20 junij 2000 (2000-06-20);Portugalska ; Nemčija;3;0;Skupina A;;Feijenoord Stadionn; Rotterdam;44000;2000
10 junij 2000 (2000-06-10);Belgija ; Švedska;2;1;Skupina B;;King Baudouin Stadium; Bruselj;46700;2000
11 junij 2000 (2000-06-11);Turčija ; Italija;1;2;Skupina B;;GelreDome; Arnhem;22500;2000
14 junij 2000 (2000-06-14);Italija ; Belgija;2;0;Skupina B;;King Baudouin Stadium; Bruselj;44500;2000
15 junij 2000 (2000-06-15);Švedska ; Turčija;0;0;Skupina B;;Philips Stadionn; Eindhoven;27000;2000
